"","Amount of food (g)","Amount of liquid (ml)","Average spiciness (scov)","Chance to win"
"59",418.034281793516,240.311668753455,3142.41200616472,7.41204126857118e-205
"92",253.721718273591,140.364223578333,1109.72172019929,1.72725314794722e-91
"86",449.937686163466,177.490771029276,3538.87345170577,2.26059630068541e-115
"12",332.986696879379,257.903631496578,4225.74812961567,3.37632673813889e-234
"36",328.856733152643,341.438933568182,245.085918363828,0
"90",512.885876994114,279.016577698878,3969.78098153441,1.14403045800827e-247
"57",730.973953751381,247.895168796674,1920.32227554372,6.16008938586852e-198
"8",279.857957812492,209.945185790093,786.353545564743,1.72689625796018e-186
"64",565.764409238473,188.132091745714,109.125927063029,1.07553695552338e-156
"84",526.97213241132,206.516926133168,4369.62629041308,1.10565363129700e-146
"18",503.72962401947,134.841548134931,280.121353091073,1.56414819123754e-77
"28",351.646639253013,119.185548038909,1819.83820077103,5.75222618727036e-50
"91",411.013552667573,153.043264719433,5.75762249338482,6.99851690434994e-142
"6",541.691876319237,224.39834684261,2726.50892462376,1.0922265504909e-174
"81",305.780160389841,266.640045146886,5336.70740061671,4.17549914283506e-247
"26",240.647355662659,143.098467493235,3587.36278880498,1.3971676996906e-88
"32",323.667112512048,215.825025616246,1045.47491813904,1.24167496321101e-188
"46",595.800124513917,268.580540596141,897.070491902561,7.43886732917941e-243
"60",646.088648077566,208.174634910107,3209.2406006419,2.1827041213635e-143
"78",407.955912426114,155.842867918528,1730.77238731189,1.04287824936877e-95
"10",327.378986615222,233.092945691532,7476.01285662935,2.00932670978123e-196
"34",253.270585385617,192.34947039269,634.473745239073,2.52772559841633e-166
"61",351.219193993602,188.227114678336,2091.07243835851,4.51587243967728e-143
"98",396.746195922606,235.287884425968,422.421874495632,3.31531719935525e-217
"20",408.913681495469,173.330548234882,2140.58055376501,1.26320534000197e-117
"83",439.997483459301,196.966210527633,7653.61603698005,9.40269113683472e-136
"87",357.05700857332,198.213700054165,1542.60083070062,1.11648308969006e-158
"39",759.350037886761,270.524248420758,2632.23586611494,2.48589179954848e-223
"42",401.886958100367,125.257952644444,6065.51099607652,1.50470968925351e-43
"30",725.891473887023,186.891544936189,4102.36674450822,3.92798210765424e-106
"23",427.096215838101,187.250558451258,4359.83205333506,9.44089826432383e-129
"13",664.25164766144,125.87388124281,600.195773617021,1.27840754175872e-48
"74",235.488875573501,192.216559168504,1238.35221586421,2.79780230892182e-163
"55",352.378562251106,124.816324073185,1028.90162021661,3.10409877211335e-62
"19",663.405938260257,264.566151964407,570.456584512096,1.83721030564857e-238
"69",751.805529184639,150.336059498442,173.82967602641,3.53187950085862e-92
"3",708.501000322867,253.653304900217,2268.93040446796,3.06521285609173e-205
"67",431.160050434992,110.060885332718,3912.08954833762,4.68351668585457e-24
"11",616.106918782461,162.227802339254,2869.095090724,5.33941013592641e-84
"62",270.60882916674,216.924622770389,1318.81450949295,3.996199977172e-193
"35",264.250847869553,145.748361610654,185.837212704799,1.8697632312981e-110
"5",464.22251198208,283.607436922704,881.031329334129,5.56972805690966e-272
"9",663.798290230334,171.672094402097,3654.03605420925,6.42381032818488e-91
"17",293.065233889502,162.090899206093,1074.9915989027,9.61464381703184e-118
"82",642.735149837099,133.307233517018,5238.97972047856,4.47487778625336e-36
"38",260.462860071566,225.721328310119,91.4496956449673,8.38025672441888e-225
"80",645.838435415644,236.669570542195,2555.55331579669,8.51329552348898e-185
"4",481.977764701005,139.564854919341,174.406566222658,1.07923319981072e-89
"56",764.874979539309,169.447517800862,2312.84378990011,1.23239483442255e-86
"2",428.201452794019,224.247999467242,2683.04869443539,1.70174015403834e-183
"43",779.008666882291,114.286945152126,3801.03209976369,0.000169053943340286
"1",240.187271782197,156.420279947272,1497.10074828845,1.08314075600228e-112
"51",727.596609687898,259.538096060006,857.530002666979,1.79751769110589e-223
"31",525.605333668645,218.552255546264,221.635824481505,6.75554232304109e-193
"41",665.915886613075,148.852275546512,1479.19229536654,8.993082299824e-70
"53",699.569953342434,179.231009679441,2938.96419870344,2.71584210628998e-101
"85",365.418853068259,237.223343402111,4249.26297034623,8.66016779159656e-203
"7",290.84830957232,205.354882478741,5825.46827748503,1.88145600492703e-164
"27",594.448547740467,228.812681781573,5100.76665938357,2.82662516086369e-170
"93",271.180135691538,222.071960078369,2725.94405767289,6.69359557233577e-195
"16",290.493982532062,231.811730459888,5114.79735059091,1.49709294701772e-201
"96",754.717508831527,178.522758180268,2767.94484005512,1.70604730989925e-97
"52",661.731844802853,177.049811100185,2186.5088310458,3.89523438637171e-104
"66",555.580296965782,241.691442585783,1502.21828922114,2.2947994035333e-203
"49",281.661294545047,223.521458044193,4038.67942306759,6.25369786205725e-193
"99",278.16480736481,203.781399525715,2381.3986957861,3.35781991248594e-170
"24",470.408822703175,179.3654327288,1086.14348118726,2.31195961624243e-127
"65",241.059688176028,110.546050600901,1266.65192641002,3.86003530815792e-51
"70",443.81292675389,265.570318634322,67.2149110912683,2.52327638460398e-272
"54",374.33293183567,210.761386660978,3023.50852230513,1.05398455955661e-168
"33",334.750389577821,168.15687646328,4561.71669765682,5.75007655869089e-111
"29",554.176312971395,144.183787506937,3203.26449171614,1.10887910813067e-62
"97",768.587277263869,117.976157396036,1565.41875000244,6.96646740964987e-21
"76",376.231668184046,161.84704151483,1032.79378961728,7.62901983581318e-111
"21",572.859930233099,138.551197547353,469.170728970774,1.38618925773457e-73
"37",650.864567398094,237.58024254931,2968.98521664659,4.84536786986476e-184
"50",316.889056728687,207.282106546031,3471.52562405953,2.85882307573879e-168
"100",685.319993209559,280.275911613485,2789.92406414145,1.09614502572263e-240
"75",463.625626396388,208.476784828604,1597.77867259863,5.99889209979603e-164
"48",544.202323940117,214.821912382235,3135.56411393459,5.07540319689478e-160
"22",492.329199723899,219.138973703248,639.17051928366,3.20053583641378e-185
"45",649.161586067639,264.289432273446,2614.84542860475,5.27847527472265e-222
"73",342.726066417526,253.564349129769,1295.70607162854,8.03622998356259e-237
"14",638.474094136618,190.008457456164,3160.11784847748,2.68203216184158e-119
"63",683.815637754742,268.022184405668,613.38936247405,2.8619160953987e-241
"47",766.530830867123,211.021900508226,1445.77746570734,6.59257103570662e-149
"40",504.761346208397,231.246459394299,3585.03130537565,3.90901719287885e-184
"44",394.082064116374,181.153518256941,4463.86516465825,3.40027728234489e-123
"68",798.495401281398,266.063946527539,1445.41991620196,3.33836195934419e-222
"94",398.134308448061,126.053838245897,2819.19455479375,1.25131208064085e-51
"72",622.518752284814,221.813556275496,2099.47915699374,3.10059586681466e-168
"89",351.033083528746,175.635627427016,1330.85918066171,1.3839114838822e-129
"25",773.199748403858,167.421788195263,1918.82310787028,1.27096279080138e-85
"58",515.099478166085,247.464901100004,681.152644236131,8.09746961844284e-222
"71",696.716616326012,186.51611531501,3498.89087594031,2.02347828751969e-109
"88",518.878847153392,129.97120673348,928.140829317168,3.23762038036394e-58
"15",242.016285385471,218.406833717552,1721.48646594655,3.91085345078464e-196
"77",526.069477519486,124.891857821428,657.885865171048,3.01321832941724e-54
"95",794.888165509328,157.488911516013,865.886592079424,1.53030487104756e-80
"79",587.893606519792,250.246854494343,1278.71771487531,1.37539113346171e-214
